,Dataset,Start age,End age,sex,Gene,dExpression,Expression at start age,Expression at end age,Max expression std. dev,Confidence (p-value)
41,facs,18m,24m,male,Asb5,4.122784614562988,6.5093090597656555e-06,2.683648381207604e-05,0.0003238917561247945,1.599868814260667e-13
42,facs,18m,24m,male,Fam129c,4.005413055419922,8.556799912184943e-06,3.427352203289047e-05,0.00025109638227149844,4.811114675938268e-34
43,facs,18m,24m,male,Pnliprp1,3.9787349700927734,2.868682895496022e-05,0.00011413729953346774,0.00209829886443913,2.270301830388681e-06
44,facs,18m,24m,male,Olig1,3.9749667644500732,2.5728588298079558e-05,6.472654149547452e-06,0.000315638433676213,3.2774814269166812e-06
45,facs,18m,24m,male,Cldn11,3.875032901763916,2.4839508114382625e-05,6.410140485968441e-06,0.00024814726202748716,8.367834892830832e-10
46,facs,18m,24m,male,Fabp1,3.8210766315460205,9.052739187609404e-05,2.3691591195529327e-05,0.0011269813403487206,2.1408881250423666e-07
47,facs,18m,24m,male,Oit3,3.743824005126953,2.2772246666136198e-05,6.082615982450079e-06,0.00023753612185828388,6.191409642470544e-08
48,facs,18m,24m,male,Actn2,3.7167723178863525,5.218750175117748e-06,1.9396909920033067e-05,0.0002522543945815414,3.107242665882203e-06
49,facs,18m,24m,male,Dnase1l3,3.7094650268554688,0.0004827784432563931,0.00013014773139730096,0.003971765283495188,1.8845941191889092e-19
50,facs,18m,24m,male,Slc16a5,3.6576900482177734,1.4094033758738078e-05,3.853259840980172e-06,0.0001314447436016053,1.0625035929322704e-06
51,facs,18m,24m,male,Mpo,3.6000242233276367,0.0003272370668128133,9.089857485378161e-05,0.0037244257982820272,1.3543923601079576e-08
52,facs,18m,24m,male,Cxcl1,3.5677645206451416,0.0003312218759674579,0.0011817216873168945,0.00849195197224617,2.7240570401432577e-50
53,facs,18m,24m,male,Apoc1,3.5643310546875,0.00010133955220226198,2.843157562892884e-05,0.000808540906291455,3.525561355526947e-21
54,facs,18m,24m,male,Cpa1,3.5543668270111084,6.144923827378079e-05,0.00021841312991455197,0.0037970072589814663,1.97578583804244e-06
55,facs,18m,24m,male,Tnni3,3.506155014038086,1.6451114788651466e-05,5.768016490037553e-05,0.0007733908714726567,1.0137889245359074e-07
56,facs,18m,24m,male,Nkd1,3.4643747806549072,4.929905117023736e-05,1.4230286979000084e-05,0.0002654690179042518,2.1942467558419496e-39
57,facs,18m,24m,male,Otc,3.4477758407592773,2.8570335416588932e-05,8.286598131235223e-06,0.0002222447219537571,8.623180674919112e-16
58,facs,18m,24m,male,Hamp,3.3836677074432373,1.5175121006905101e-05,4.484813416638644e-06,0.00015019062266219407,7.180744232786305e-06
59,facs,18m,24m,male,Myl9,3.3640735149383545,0.00024938175920397043,7.413089042529464e-05,0.002663564635440707,3.704181561810337e-09
60,facs,18m,24m,male,Akr1c6,3.306203842163086,3.1489173125009984e-05,9.52426762523828e-06,0.00027435951051302254,2.278538386869386e-12
61,facs,18m,24m,male,Fam132b,3.2500736713409424,1.1221801287319977e-05,3.6471683415584266e-05,0.0003969989775214344,2.8228381052034017e-14
62,facs,18m,24m,male,Apoc3,3.195923328399658,3.945726712117903e-05,1.234612318512518e-05,0.00029792607529088855,8.68584016556733e-18
63,facs,18m,24m,male,C130026I21Rik,3.120370626449585,1.0178691809414886e-05,3.1761293939780444e-05,0.00016104476526379585,1.021296316953084e-43
64,facs,18m,24m,male,Cd8a,3.1140055656433105,0.00018252212612424046,5.861329555045813e-05,0.001124357571825385,1.3383738474491921e-32
65,facs,18m,24m,male,Meg3,3.107783794403076,3.0927229090593755e-05,9.611513814888895e-05,0.0012167800450697541,4.0591451837057e-13
66,facs,18m,24m,male,Itih4,3.101189136505127,8.100398190435953e-06,2.5120869395323098e-05,0.0002731246640905738,3.348336858711321e-11
67,facs,18m,24m,male,Tagln,3.079310178756714,6.285090785240754e-05,2.0410709112184122e-05,0.000678621290717274,3.586421244125831e-07
68,facs,18m,24m,male,Mog,3.0470657348632812,3.611071952036582e-05,1.1850980627059471e-05,0.0003757307422347367,3.5788512469874673e-07
69,facs,18m,24m,male,Bhmt,3.011814832687378,0.0001315873523708433,4.369038651930168e-05,0.0010652303462848067,5.577474954532455e-16
70,facs,18m,24m,male,Elovl3,3.0065598487854004,2.182653042837046e-05,7.259635367518058e-06,0.0002153001696569845,1.9640118384612295e-06
71,facs,18m,24m,male,Mfsd2a,2.9908342361450195,1.9970620996900834e-05,6.677273631794378e-06,0.00016561012307647616,1.0248015588201316e-08
72,facs,18m,24m,male,Aqp11,2.9423561096191406,5.963781586615369e-05,2.0268726075300947e-05,0.0004203755233902484,7.157504332850382e-21
73,facs,18m,24m,male,Rgn,2.9110512733459473,2.9071732569718733e-05,9.986677468987182e-06,0.000296036247164011,2.4354303786948723e-06
74,facs,18m,24m,male,Cd8b1,2.8892436027526855,0.00028992045554332435,0.00010034476144937798,0.0016657968517392874,1.490245014664563e-34
75,facs,18m,24m,male,Car3,2.8788068294525146,0.000249757751589641,8.675738354213536e-05,0.0020708274096250534,5.405751099349032e-14
76,facs,18m,24m,male,Mag,2.8381216526031494,7.890712731750682e-05,2.780258728307672e-05,0.000725208839867264,3.0975738412039946e-10
77,facs,18m,24m,male,Tubb4a,2.8072733879089355,0.00014100449334364384,5.022827099310234e-05,0.0013170965248718858,8.884128626937336e-10
