,Dataset,Start age,End age,sex,Gene,dExpression,Expression at start age,Expression at end age,Max expression std. dev,Confidence (p-value)
1487,droplet,3m,18m,male,Trim30a,2.314955949783325,1.7877955542644486e-05,4.138668373343535e-05,0.00011409057333366945,6.374615410160596e-61
1488,droplet,3m,18m,female,Tmem56,2.3126957416534424,8.983824045571964e-06,2.0776853489223868e-05,0.00011732846178347245,1.8635248430111976e-13
1489,droplet,3m,18m,male,Mall,2.3123257160186768,3.593226574594155e-05,1.55394463945413e-05,0.00010084169480251148,7.313388413497183e-51
1490,droplet,3m,18m,male,Coro1a,2.310805559158325,0.00026464424445293844,0.0006115413852967322,0.0009269436122849584,0.0
1491,droplet,3m,18m,male,Cd247,2.3090691566467285,9.91938759398181e-06,2.2904554498381913e-05,0.00013081319048069417,4.940394355656664e-15
1492,droplet,3m,18m,female,Lef1,2.308882474899292,3.3594311389606446e-05,1.4550030755344778e-05,0.0001231919159181416,3.363726984863623e-36
1493,droplet,3m,18m,male,Irak3,2.3087172508239746,7.058039045659825e-06,1.629501821298618e-05,5.9911741118412465e-05,1.8140953754387613e-11
1494,droplet,3m,18m,male,Ltbp3,2.3086276054382324,5.2821596909780055e-05,2.288008363393601e-05,0.00013003134517930448,5.761096867545691e-94
1495,droplet,3m,18m,male,Fgfr1,2.3073625564575195,0.00012181835336377844,5.279549804981798e-05,0.0002495163935236633,6.675341015312507e-217
1496,droplet,3m,18m,male,Crtap,2.306377649307251,5.4443178669316694e-05,2.3605489332112484e-05,0.00012385087029542774,4.7689113277129013e-104
1497,droplet,3m,18m,male,A430107O13Rik,2.3063759803771973,1.3703273907594848e-05,5.941473318671342e-06,6.20698556303978e-05,3.8921258600829085e-07
1498,droplet,3m,18m,female,Enho,2.305941104888916,7.2678685683058575e-06,1.6759278878453188e-05,8.17269246908836e-05,1.4442846553006152e-10
1499,droplet,3m,18m,female,C1qb,2.304159641265869,9.21872488106601e-05,0.0002124141319654882,0.0011979392729699612,3.2129454523278453e-31
1500,droplet,3m,18m,male,Cxxc5,2.303434371948242,4.121786332689226e-05,1.7894088159664534e-05,0.00011206931958440691,1.4599954156307866e-63
1501,droplet,3m,18m,male,Ank,2.3033835887908936,5.516828969120979e-05,2.3950977265485562e-05,0.00016013861750252545,1.1708765895753707e-83
1502,droplet,3m,18m,male,Smtn,2.3031253814697266,3.6249628465157e-05,1.5739318769192323e-05,9.93760913843289e-05,3.488092366909612e-52
1503,droplet,3m,18m,male,H2afx,2.302344799041748,3.27749912685249e-05,7.545932749053463e-05,0.00022812419047113508,3.9454446773268634e-103
1504,droplet,3m,18m,female,Bok,2.296631097793579,2.2567712221643887e-05,9.826440873439424e-06,7.767561328364536e-05,1.8926277877686607e-21
