,dataset,start_age,end_age,sex,tissue,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
226,droplet,3m,21m,female,Mammary_Gland,Csprs,2.4483771324157715,2.0423217392817605e-06,1.1147033546876628e-05,4.72145366074983e-05,4.6600641865150144e-08
227,droplet,3m,21m,female,Marrow,Xrn1,-2.4403414726257324,1.8263612219016068e-05,3.364888016221812e-06,5.2333445637486875e-05,5.836737539163379e-22
228,droplet,3m,21m,female,Heart_and_Aorta,Mid1,2.4395840167999268,4.1627135942690074e-06,2.2582111341762356e-05,6.700865196762607e-05,1.1010882795260787e-06
229,droplet,3m,21m,female,Marrow,2410076I21Rik,-2.4232351779937744,3.909205042873509e-05,7.288227152457694e-06,0.000174437984242104,1.893875023872302e-17
230,droplet,3m,21m,female,Limb_Muscle,Il21r,-2.4216551780700684,4.119906225241721e-05,7.689470294280909e-06,0.00015651356079615653,5.6787284965779e-23
231,droplet,3m,21m,female,Liver,Cyp2b13,-2.42073917388916,0.0001506444823462516,2.8134427338954993e-05,0.00022858379816170782,1.9097630894946125e-25
232,droplet,3m,21m,female,Spleen,Gas7,2.4108428955078125,2.50505399890244e-06,1.3321504411578644e-05,5.878731462871656e-05,1.2545087506491622e-11
233,droplet,3m,21m,female,Liver,Clic1,2.4020369052886963,3.170190757373348e-05,0.00016756007971707731,0.00030716718174517155,1.3374430899356838e-10
234,droplet,3m,21m,female,Limb_Muscle,Blk,-2.401799440383911,2.5765240934561007e-05,4.875515060120961e-06,0.0001262483565369621,4.3208799123674375e-12
235,droplet,3m,21m,female,Mammary_Gland,Tmem45a,2.4017038345336914,7.528829883085564e-06,3.978436143370345e-05,0.00010534432658459991,1.7997427203954307e-58
236,droplet,3m,21m,female,Marrow,Ccr9,-2.401278495788574,3.594059307943098e-05,6.803436463087564e-06,0.00017450547602493316,7.359085013871452e-14
237,droplet,3m,21m,female,Spleen,Nfil3,2.390449285507202,2.0583424884534907e-06,1.0792317880259361e-05,5.484584471560083e-05,5.798885741905594e-07
238,droplet,3m,21m,female,Spleen,Adssl1,2.3890810012817383,7.974849722813815e-06,4.177414666628465e-05,0.00011663037730613723,4.7917213021939456e-64
239,droplet,3m,21m,female,Limb_Muscle,Ccr7,-2.387263298034668,0.00011411980813136324,2.1813390048919246e-05,0.0004636542871594429,4.180467512758791e-21
240,droplet,3m,21m,female,Spleen,Nt5e,2.3815298080444336,3.900690899172332e-06,2.0326073354226537e-05,8.21318753878586e-05,8.632810766433446e-22
