,dataset,start_age,end_age,sex,tissue,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
21,droplet,3m,30m,male,Liver,Cyp2d37-ps,-10.87026309967041,3.3601656468817964e-05,1.7949863817534606e-08,9.789556497707963e-05,9.749282998105181e-08
22,droplet,3m,30m,male,Liver,Mup7,-10.830829620361328,9.329868044005707e-05,5.122268120771878e-08,0.0001558693911647424,1.3271038560287162e-31
23,droplet,3m,30m,male,Kidney,Beta-s,10.653166770935059,5.905884790990967e-06,0.009510597214102745,0.08519228547811508,5.812342000936524e-12
24,droplet,3m,30m,male,Liver,Abcb11,-10.599604606628418,0.0002817290951497853,1.815642320934785e-07,0.00033427769085392356,4.3454624920774677e-67
25,droplet,3m,30m,male,Liver,Aif1,10.538607597351074,6.70133488256397e-07,0.0009967790683731437,0.0006812830688431859,0.0
26,droplet,3m,30m,male,Spleen,Camp,10.537256240844727,2.382960246904986e-06,0.0035411743447184563,0.013025650754570961,6.908989564449426e-140
27,droplet,3m,30m,male,Spleen,S100a9,10.514357566833496,9.096768735616934e-06,0.01330528687685728,0.04301619157195091,4.102941630939399e-182
28,droplet,3m,30m,male,Liver,Ccl3,10.487958908081055,3.92757556255674e-07,0.0005640477756969631,0.0009916616836562753,5.94190262557708e-157
29,droplet,3m,30m,male,Spleen,Ngp,10.485054969787598,2.3015597889752826e-06,0.0032986674923449755,0.011743074283003807,1.418232535508103e-149
30,droplet,3m,30m,male,Lung,Hhip,-10.385885238647461,0.0005998905398882926,4.483407565203379e-07,0.0020911991596221924,1.2564407025475978e-36
31,droplet,3m,30m,male,Liver,Abcg8,-10.318806648254395,4.689947672886774e-05,3.67185819527549e-08,0.00010204145655734465,1.0722539231571902e-16
32,droplet,3m,30m,male,Spleen,Lcn2,10.280808448791504,1.2371792763588019e-06,0.001539092045277357,0.005234973970800638,4.283853054217779e-164
33,droplet,3m,30m,male,Liver,Cyp4a12a,-10.225324630737305,0.00027532249805517495,2.299907748692931e-07,0.00032931441091932356,6.396024553462497e-66
34,droplet,3m,30m,male,Liver,Cfp,10.220297813415527,1.4679565083497437e-06,0.0017511758487671614,0.001417958177626133,0.0
35,droplet,3m,30m,male,Spleen,Cebpe,10.14043140411377,4.467845116096214e-08,5.0429185648681596e-05,0.0002030419564107433,8.90248746016717e-95
36,droplet,3m,30m,male,Lung,Cav3,-10.125868797302246,1.6339461581083015e-05,1.4622375310580082e-08,6.573754217242822e-05,2.5064598588129526e-16
37,droplet,3m,30m,male,Liver,Cyp4f15,-10.055671691894531,5.2744941058335826e-05,4.955794352667908e-08,0.00011616891424637288,2.1475546821347525e-16
38,droplet,3m,30m,male,Liver,Cyp4a12b,-10.0436372756958,7.809265662217513e-05,7.398917034606711e-08,0.00015035728574730456,7.070172110212998e-23
39,droplet,3m,30m,male,Liver,Hcls1,9.997090339660645,1.9284244956452312e-07,0.00019707385217770934,0.0001509573485236615,0.0
40,droplet,3m,30m,male,Liver,Cyp2d9,-9.969120979309082,0.0012607775861397386,1.2578643691085745e-06,0.0010216179070994258,2.8708304957670697e-148
41,droplet,3m,30m,male,Liver,Rgs2,9.920822143554688,3.417565039853798e-07,0.0003312706539873034,0.0003759486135095358,0.0
42,droplet,3m,30m,male,Liver,Inhbc,-9.913466453552246,5.223511470830999e-05,5.4163141527396874e-08,0.00011880107194883749,3.5012795717500103e-15
43,droplet,3m,30m,male,Liver,Rgs19,9.90833568572998,6.096564675317495e-08,5.8586636441759765e-05,7.395818101940677e-05,5.5636564805196613e-216
44,droplet,3m,30m,male,Liver,Igfals,-9.864008903503418,0.00010367834329372272,1.1125555232638362e-07,0.0001747143396642059,4.273174181370542e-31
45,droplet,3m,30m,male,Liver,Vcam1,9.861050605773926,5.249729611023213e-07,0.00048821346717886627,0.0005040091928094625,0.0
46,droplet,3m,30m,male,Lung,Dbc1,-9.831893920898438,1.0607323929434642e-05,1.1637869334890638e-08,5.897111986996606e-05,4.2874374347071055e-06
47,droplet,3m,30m,male,Liver,Pcsk6,-9.751727104187012,7.862459460739046e-05,9.119923305433986e-08,0.00015424421872012317,6.367381095580252e-22
48,droplet,3m,30m,male,Liver,Ptpn18,9.735379219055176,5.965732725599082e-07,0.0005085173179395497,0.0003250658337492496,0.0
49,droplet,3m,30m,male,Liver,Foxq1,-9.73255443572998,0.00015929265646263957,1.8724171013673185e-07,0.00025002771872095764,1.1354083287259907e-36
50,droplet,3m,30m,male,Liver,Mup14,-9.653892517089844,4.508851998252794e-05,5.596893259962599e-08,0.00011256194557063282,6.0283253125805424e-12
51,droplet,3m,30m,male,Liver,Ifi27l2a,9.64950942993164,1.498922301834682e-06,0.001203846768476069,0.0011139092966914177,0.0
52,droplet,3m,30m,male,Liver,Itgal,9.498946189880371,2.1020238705204974e-07,0.00015209241246338934,0.00018299340445082635,1.22179786e-316
53,droplet,3m,30m,male,Liver,Fcna,9.421889305114746,5.80329185595474e-07,0.00039805815322324634,0.000484429212519899,0.0
54,droplet,3m,30m,male,Spleen,Ank1,9.38066291809082,1.1600866045569092e-08,7.733723577985074e-06,4.2065512388944626e-05,2.49297210973502e-07
55,droplet,3m,30m,male,Lung,Pi15,-9.355775833129883,0.00017826691328082234,2.720821044022159e-07,0.00030475258245132864,3.7889260720013207e-159
56,droplet,3m,30m,male,Liver,Clec4a1,9.353041648864746,4.798924919668934e-07,0.00031382753513753414,0.0002711364650167525,0.0
57,droplet,3m,30m,male,Liver,Slc38a3,-9.331542015075684,0.0004958512145094573,7.696209536334209e-07,0.0005647180951200426,3.551785104392888e-73
58,droplet,3m,30m,male,Liver,Dio1,-9.323263168334961,0.00019511145364958793,3.045785774702381e-07,0.0002709030522964895,7.574452943564906e-48
59,droplet,3m,30m,male,Liver,Slc47a1,-9.292466163635254,6.830382335465401e-05,1.0892556900898853e-07,0.00012910539226140827,1.2238600384537028e-23
60,droplet,3m,30m,male,Liver,Pf4,9.270986557006836,3.555149305611849e-06,0.0021963571198284626,0.002112914575263858,0.0
61,droplet,3m,30m,male,Liver,Tnfaip8,9.244037628173828,2.4448567614854255e-07,0.00014824762183707207,0.00013855342695023865,0.0
62,droplet,3m,30m,male,Liver,Elovl3,-9.23930549621582,0.0006089421221986413,1.0075519867314142e-06,0.000584974477533251,3.0883721277452324e-104
63,droplet,3m,30m,male,Liver,Gm10768,-9.216217994689941,6.962925544939935e-05,1.1706574554182225e-07,0.0001323228352703154,2.255097919702079e-23
64,droplet,3m,30m,male,Liver,Mmp9,9.208002090454102,4.6857632440833186e-08,2.7712423616321757e-05,0.00011125391029054299,1.7278920358492467e-22
65,droplet,3m,30m,male,Spleen,Elane,9.19006633758545,1.785944618859503e-07,0.00010431720147607848,0.0011229170486330986,4.1675970432524055e-13
66,droplet,3m,30m,male,Spleen,Kel,9.175117492675781,2.3201732091138183e-08,1.3412965017778333e-05,7.824473141226918e-05,1.2583382674060028e-19
67,droplet,3m,30m,male,Liver,Selenbp2,-9.159639358520508,0.0011493040947243571,2.0095953914278653e-06,0.0008756888564676046,7.4026086020674555e-168
68,droplet,3m,30m,male,Liver,Ugt2b38,-9.142088890075684,3.331574043841101e-05,5.896564303498053e-08,0.00010298434062860906,1.6738587459864066e-06
69,droplet,3m,30m,male,Lung,Cox8b,-9.098941802978516,3.8572972698602825e-05,7.034326188204432e-08,0.00012561290350276977,1.1347165162970935e-36
70,droplet,3m,30m,male,Liver,Ces3b,-9.077560424804688,0.00038368659443221986,7.101631354089477e-07,0.0004265856114216149,8.2156070136871e-77
71,droplet,3m,30m,male,Lung,Gm11627,-9.069295883178711,1.2845702258346137e-05,2.3911654878361333e-08,5.8942507166648284e-05,1.5168657108788883e-10
72,droplet,3m,30m,male,Liver,Hcst,9.068302154541016,2.2101596641732613e-07,0.00011864690895890817,0.0002757483161985874,1.5228728163332422e-85
73,droplet,3m,30m,male,Liver,Lsp1,9.06672477722168,3.96337838992622e-07,0.0002125312457792461,0.00036533697857521474,3.967355823533731e-161
74,droplet,3m,30m,male,Liver,Ces1e,-9.066327095031738,0.00017697115254122764,3.3011468758559204e-07,0.0002678360906429589,1.1026813706945129e-39
75,droplet,3m,30m,male,Liver,Tnfaip3,9.053317070007324,2.516685526643414e-07,0.00013370596570894122,0.00016826203500386328,6.568336092458894e-285
76,droplet,3m,30m,male,Liver,Slc27a2,-9.051512718200684,0.0006741400575265288,1.2704953178399592e-06,0.0005458670202642679,4.8630137252967695e-148
77,droplet,3m,30m,male,Liver,Sema4g,-9.029582023620605,0.0001635883963899687,3.1302286629397713e-07,0.00023226822668220848,1.8742632559182422e-45
78,droplet,3m,30m,male,Liver,Slc17a2,-9.022246360778809,0.00010649189061950892,2.0480831608438166e-07,0.0001630732003832236,3.166076203558544e-38
79,droplet,3m,30m,male,Lung,Mrgprf,-9.004249572753906,2.65494963969104e-05,5.170097949758201e-08,9.430891077499837e-05,2.7568451813282593e-27
80,droplet,3m,30m,male,Lung,Ccdc3,-8.986599922180176,1.727483504510019e-05,3.4053755371132866e-08,0.00010014455619966611,2.41987069290351e-08
81,droplet,3m,30m,male,Lung,Aspn,-8.982025146484375,0.00023153141955845058,4.578783716624457e-07,0.0011064729187637568,8.847588390444692e-18
82,droplet,3m,30m,male,Liver,Slc27a5,-8.978365898132324,0.00039745180401951075,7.880002499405236e-07,0.00042129532084800303,7.879389366372168e-85
83,droplet,3m,30m,male,Lung,Lyve1,8.974626541137695,1.2023852491438447e-07,6.048935392755084e-05,0.0003304053680039942,2.020369850879534e-69
84,droplet,3m,30m,male,Liver,Csf2ra,8.953516006469727,2.6845060574487434e-07,0.00013308919733390212,0.00013122805103193969,0.0
85,droplet,3m,30m,male,Liver,Slc22a1,-8.921051025390625,0.0002786786644719541,5.749088245465828e-07,0.0003670261357910931,1.140090285958959e-53
86,droplet,3m,30m,male,Liver,Cyba,8.904719352722168,4.859038654103642e-06,0.002328830771148205,0.001202237093821168,0.0
87,droplet,3m,30m,male,Lung,Alas2,8.884714126586914,2.4778049123597157e-07,0.00011712090054061264,0.0004429174878168851,9.57643863891899e-155
88,droplet,3m,30m,male,Liver,Crip1,8.871451377868652,1.6080347222668934e-06,0.0007531277369707823,0.0012055550469085574,2.570684927969342e-189
89,droplet,3m,30m,male,Lung,Col3a1,-8.816389083862305,0.002386830048635602,5.294486982165836e-06,0.002793509978801012,0.0
90,droplet,3m,30m,male,Liver,Sdc3,8.810423851013184,7.755665478725859e-07,0.00034819412394426763,0.0004346330533735454,1.3400242355947645e-308
91,droplet,3m,30m,male,Liver,Cmtm7,8.80395793914795,5.961579176982923e-07,0.00026645115576684475,0.00018921824812423438,0.0
92,droplet,3m,30m,male,Liver,Mup1,-8.765538215637207,0.0009601641213521361,2.206253157055471e-06,0.0010663843713700771,4.4321305715859545e-77
93,droplet,3m,30m,male,Liver,Epb4.1l4b,-8.750412940979004,5.7874312915373594e-05,1.3438345547456265e-07,0.0001274341339012608,1.844661916440565e-16
94,droplet,3m,30m,male,Lung,Cntfr,-8.7242431640625,2.0069668607902713e-05,4.745391990468306e-08,9.311112808063626e-05,1.9001217935189848e-14
95,droplet,3m,30m,male,Liver,Aspg,-8.719671249389648,0.00012314232299104333,2.920945121331897e-07,0.00025522391661070287,1.6910387970262205e-19
96,droplet,3m,30m,male,Spleen,Rhag,8.698062896728516,5.80043320042023e-08,2.4090495571726933e-05,0.00012340756074991077,7.147684064026035e-43
97,droplet,3m,30m,male,Liver,Serpina3k,-8.685896873474121,0.014878666959702969,3.6128374631516635e-05,0.007526647299528122,0.0
98,droplet,3m,30m,male,Lung,Cd59b,-8.678733825683594,1.008809977065539e-05,2.4616857885462196e-08,5.180632069823332e-05,1.5222116120288042e-06
99,droplet,3m,30m,male,Liver,Ces2a,-8.664021492004395,0.00045908233732916415,1.1317741837046924e-06,0.00045599383884109557,5.013750943159067e-97
100,droplet,3m,30m,male,Liver,Slco1b2,-8.659875869750977,0.0009150970727205276,2.262479938508477e-06,0.0011458400404080749,6.967304257619849e-60
101,droplet,3m,30m,male,Liver,Oxct1,8.653072357177734,2.1020238705204974e-07,8.462019468424842e-05,9.165381925413385e-05,0.0
102,droplet,3m,30m,male,Liver,Ugt2b35,-8.645468711853027,0.00016017751477193087,3.9999540035751124e-07,0.00023041908571030945,4.0116622755461714e-44
103,droplet,3m,30m,male,Liver,Nox4,-8.644793510437012,3.365918746567331e-05,8.409229224071169e-08,9.62594713200815e-05,4.2581878739811074e-08
104,droplet,3m,30m,male,Liver,Slc30a10,-8.628182411193848,4.33361747127492e-05,1.095228796543779e-07,0.00010577747889328748,1.5413112697493783e-12
105,droplet,3m,30m,male,Liver,Plac8,8.621854782104492,2.137808905899874e-06,0.0008421819075010717,0.001828166889026761,1.7326042983281348e-101
106,droplet,3m,30m,male,Liver,Elovl2,-8.620548248291016,0.0003103234921582043,7.884432307037059e-07,0.0003669995057862252,2.5637217512412932e-67
107,droplet,3m,30m,male,Lung,Tmem35,-8.595142364501953,1.2462709491956048e-05,3.222578115469332e-08,6.033454337739386e-05,2.4860516178498647e-09
108,droplet,3m,30m,male,Lung,Col4a6,-8.58387565612793,1.1534022632986307e-05,3.0058156852419415e-08,5.6670807680347934e-05,2.3570680691859135e-08
109,droplet,3m,30m,male,Lung,Gli3,-8.567106246948242,1.0485655366210267e-05,2.764546103151133e-08,5.5241740483324975e-05,1.3525765395119968e-06
110,droplet,3m,30m,male,Liver,Ugt2b5,-8.564355850219727,0.0009467473137192428,2.5009553610289004e-06,0.0007936885231174529,8.91213186389732e-138
111,droplet,3m,30m,male,Liver,Cyp2f2,-8.558378219604492,0.001024145050905645,2.716643393796403e-06,0.0012384122237563133,1.9083309438432663e-64
112,droplet,3m,30m,male,Liver,Gcgr,-8.520933151245117,0.0001650998165132478,4.4945818444830365e-07,0.0002366234257351607,1.7603629205635024e-44
113,droplet,3m,30m,male,Lung,Grem2,-8.516739845275879,0.0001201478808070533,3.2803532690195425e-07,0.00037477395380847156,1.204563366540545e-45
114,droplet,3m,30m,male,Liver,Tmprss6,-8.501776695251465,0.0003323153068777174,9.16769295145059e-07,0.00039299880154430866,2.5177826558681296e-67
115,droplet,3m,30m,male,Lung,Foxf2,-8.496944427490234,0.00024065328761935234,6.661252882622648e-07,0.0003439380379859358,9.705302021830449e-230
116,droplet,3m,30m,male,Lung,Col1a1,-8.493880271911621,0.0011470395838841796,3.18174693347828e-06,0.0014281177427619696,2.344068620188723e-309
117,droplet,3m,30m,male,Liver,Gldc,-8.480182647705078,0.00011261599865974858,3.153619729800994e-07,0.00018666457617655396,3.4007518720465146e-32
118,droplet,3m,30m,male,Liver,Gulo,-8.451786041259766,0.0002317389298696071,6.618462293772609e-07,0.000421308126533404,1.738742213355125e-26
119,droplet,3m,30m,male,Lung,Tmem132c,-8.447270393371582,5.719780529034324e-05,1.6386827894621092e-07,0.00012924292241223156,2.673524813434297e-80
120,droplet,3m,30m,male,Lung,Adamtsl2,-8.443623542785645,1.1201607776456513e-05,3.217235544639152e-08,5.3413674322655424e-05,1.8610641273474614e-08
121,droplet,3m,30m,male,Liver,Cyp2d10,-8.439441680908203,0.0006926369969733059,1.9951717149524484e-06,0.0006310900207608938,5.460527643284497e-116
122,droplet,3m,30m,male,Liver,Sash3,8.422253608703613,9.95518192326017e-08,3.41510858561378e-05,6.036114791641012e-05,2.103291819466513e-93
123,droplet,3m,30m,male,Liver,Igfbp1,-8.421018600463867,0.00037195769255049527,1.085210669771186e-06,0.0005223005427978933,8.606857010666245e-47
124,droplet,3m,30m,male,Liver,Axl,8.41675853729248,8.49516652579041e-07,0.000290314870653674,0.0002497544919606298,0.0
125,droplet,3m,30m,male,Liver,Ly6a,8.40733814239502,4.52364429293084e-06,0.0015358522068709135,0.0012635302264243364,0.0
126,droplet,3m,30m,male,Lung,Cd6,8.406418800354004,2.7455513418317423e-08,9.316001523984596e-06,7.166933210100979e-05,2.553456048152992e-09
127,droplet,3m,30m,male,Liver,Ces3a,-8.398375511169434,0.0010614385828375816,3.145805749227293e-06,0.0008390371804125607,2.7004004884530466e-155
128,droplet,3m,30m,male,Liver,Ugt2b1,-8.393537521362305,0.0003932023828383535,1.1692550287989434e-06,0.0004184280114714056,5.951011776138087e-84
129,droplet,3m,30m,male,Liver,Clec1b,8.381645202636719,1.2750730320476578e-06,0.0004252674407325685,0.0003535602882038802,0.0
130,droplet,3m,30m,male,Lung,St8sia2,-8.362932205200195,4.981733945896849e-05,1.5131581676541828e-07,0.00013720584684051573,1.1578656121103163e-53
131,droplet,3m,30m,male,Liver,Ankrd44,8.359636306762695,6.523566042915263e-08,2.1428555555758066e-05,6.1465245380532e-05,6.829537974497455e-34
132,droplet,3m,30m,male,Lung,Lum,-8.346126556396484,0.000306331436149776,9.413616908204858e-07,0.001083026989363134,2.9526865075231153e-35
133,droplet,3m,30m,male,Liver,Cpn2,-8.344659805297852,0.0002012020704569295,6.189262649058946e-07,0.0002740491181612015,1.1270945347250295e-49
134,droplet,3m,30m,male,Spleen,Retnlg,8.33549690246582,2.3956361019372707e-06,0.0007738478598184884,0.004877643659710884,4.380166325171124e-45
135,droplet,3m,30m,male,Lung,Fgf18,-8.329693794250488,1.7967344319913536e-05,5.584553974813389e-08,9.878757555270568e-05,1.4478454256248701e-09
136,droplet,3m,30m,male,Liver,Cxcl10,8.328933715820312,1.327986069554754e-06,0.0004270245262887329,0.001181658124551177,7.521231864833648e-61
137,droplet,3m,30m,male,Liver,Pld4,8.308056831359863,1.0463340913702268e-06,0.0003316232468932867,0.0002575825492385775,0.0
138,droplet,3m,30m,male,Liver,Slc22a30,-8.306309700012207,0.00016233467613346875,5.128165412315866e-07,0.00033592479303479195,1.331745327561846e-19
139,droplet,3m,30m,male,Liver,Abcc6,-8.297809600830078,5.3403542551677674e-05,1.6969848104508856e-07,0.00011549072951311246,5.1077630984034976e-17
140,droplet,3m,30m,male,Lung,A330076H08Rik,-8.295991897583008,0.00012415004312060773,3.950057418933284e-07,0.00022730435011908412,3.6622974889673476e-135
141,droplet,3m,30m,male,Liver,Cyp3a11,-8.27705192565918,0.0035455564502626657,1.142992823588429e-05,0.0031017193105071783,3.9271777775339834e-126
142,droplet,3m,30m,male,Liver,Klkb1,-8.27178955078125,0.00027096408302895725,8.767067924964067e-07,0.0003311733016744256,1.1376999471722568e-62
143,droplet,3m,30m,male,Lung,Snca,8.268574714660645,1.721417106637091e-07,5.3085714171174914e-05,0.0002358919446123764,4.41116654770427e-97
144,droplet,3m,30m,male,Liver,Ldhd,-8.263686180114746,4.6524161007255316e-05,1.5137639763906918e-07,0.00010233585635432974,3.67777659684427e-16
145,droplet,3m,30m,male,Liver,F7,-8.257957458496094,0.00013566655979957432,4.4317866354504076e-07,0.00020419809152372181,7.803174521103541e-40
146,droplet,3m,30m,male,Liver,Prodh2,-8.257804870605469,0.0001428619580110535,4.667333541874541e-07,0.000223881725105457,1.4990450813386466e-36
147,droplet,3m,30m,male,Lung,Kirrel,-8.257417678833008,1.250843342859298e-05,4.087539906549864e-08,5.6116921768989414e-05,1.4002489061245382e-10
148,droplet,3m,30m,male,Lung,Col1a2,-8.220632553100586,0.001622854033485055,5.440294444269966e-06,0.0022749423515051603,3.6186058975606176e-243
149,droplet,3m,30m,male,Liver,Csprs,8.211373329162598,2.0919101473282353e-07,6.200328061822802e-05,0.00010705427848733962,9.216529034914673e-134
150,droplet,3m,30m,male,Lung,Fbln1,-8.209586143493652,0.0003173095756210387,1.0718918019847479e-06,0.00044560598325915635,1.3588282973874691e-239
151,droplet,3m,30m,male,Liver,Cyp4f14,-8.20843505859375,0.00018555260612629354,6.27308565981366e-07,0.00024197147286031395,2.175974436739546e-54
152,droplet,3m,30m,male,Liver,Vim,8.206632614135742,1.519650140835438e-06,0.0004489380808081478,0.0006678334902971983,1.5180917904503208e-217
153,droplet,3m,30m,male,Liver,Car14,-8.199268341064453,5.500016413861886e-05,1.8712684379806888e-07,0.0001239223638549447,1.7244875629036895e-15
154,droplet,3m,30m,male,Liver,Apoa5,-8.184612274169922,0.001145763206295669,3.938048394047655e-06,0.0009598948527127504,9.234749486902376e-138
155,droplet,3m,30m,male,Liver,Oas1a,8.15709114074707,2.5745060838744394e-07,7.348940562224016e-05,8.97713762242347e-05,9.504436854991632e-251
156,droplet,3m,30m,male,Liver,Slc2a2,-8.150965690612793,0.0001753491087583825,6.16904230810178e-07,0.00024212757125496864,4.0479933756661247e-48
157,droplet,3m,30m,male,Lung,Gdf10,-8.149151802062988,7.385060598608106e-05,2.601437358862313e-07,0.0002130382345058024,5.139875219966882e-52
158,droplet,3m,30m,male,Lung,Wnt5a,-8.137396812438965,4.1672617953736335e-05,1.479950526572793e-07,0.00014299833856057376,1.3117431035345434e-33
159,droplet,3m,30m,male,Liver,Pdlim4,8.13310718536377,2.967394152619818e-07,8.330785931320861e-05,8.803017408354208e-05,0.0
160,droplet,3m,30m,male,Lung,Pamr1,-8.126320838928223,8.346420509042218e-05,2.9869809736737807e-07,0.00016316895198542625,2.1457407789305368e-113
161,droplet,3m,30m,male,Liver,Cyp8b1,-8.12165355682373,0.00013529015996027738,4.857400881519425e-07,0.0001889986015157774,1.1298709202214304e-46
162,droplet,3m,30m,male,Liver,Mup12,-8.11585521697998,0.0003239945799577981,1.1679425142574473e-06,0.00037390601937659085,1.0447557636497287e-70
163,droplet,3m,30m,male,Liver,Cyp7b1,-8.111865997314453,0.000321786297718063,1.1631942697931663e-06,0.0003328438906464726,8.822970351387586e-89
164,droplet,3m,30m,male,Liver,Gckr,-8.106805801391602,0.00010407040826976299,3.7751522086182376e-07,0.0001865370140876621,5.683910527837404e-27
165,droplet,3m,30m,male,Liver,Cd274,8.091967582702637,2.167626860227756e-07,5.9144113038200885e-05,0.00010685629968065768,1.2221228490324628e-121
166,droplet,3m,30m,male,Liver,Apob,-8.053374290466309,0.001549255452118814,5.831975158798741e-06,0.001342843403108418,2.0026836366907848e-128
167,droplet,3m,30m,male,Liver,Adam15,8.048933982849121,6.096564675317495e-08,1.614592292753514e-05,4.475305831874721e-05,1.8923292363069542e-26
168,droplet,3m,30m,male,Liver,Cyp2d26,-8.029068946838379,0.0005043151904828846,1.930683993123239e-06,0.0004746397607959807,3.6895908879351695e-108
169,droplet,3m,30m,male,Liver,Cd72,8.023588180541992,6.872946869407315e-07,0.00017884813132695854,0.0001752611860865727,0.0
170,droplet,3m,30m,male,Kidney,Alas2,8.01651668548584,1.9196893674688909e-07,4.971017551724799e-05,0.00046323274727910757,2.5756120260642735e-10
171,droplet,3m,30m,male,Lung,Art4,-8.00978946685791,9.581943595549092e-05,3.7176243949943455e-07,0.00018493624520488083,1.638652132516923e-118
172,droplet,3m,30m,male,Kidney,Serpina1a,8.00905704498291,5.159819238542696e-07,0.00013292346557136625,0.0005225423374213278,1.8743308164146175e-74
173,droplet,3m,30m,male,Lung,Col6a3,-7.998604774475098,0.0002941787533927709,1.1502465895318892e-06,0.0004002431523986161,1.6731853865234071e-254
174,droplet,3m,30m,male,Liver,Plin5,-7.994945049285889,4.8278263420797884e-05,1.892479417620052e-07,0.00010092750744661316,3.301602982164922e-18
175,droplet,3m,30m,male,Liver,9130409I23Rik,-7.990269184112549,2.2162676032166928e-05,8.715785781987506e-08,6.65984334773384e-05,1.836830387287713e-06
176,droplet,3m,30m,male,Lung,Tspan11,-7.973819255828857,3.697102874866687e-05,1.4706178319556784e-07,0.0001341685128863901,3.257826307696702e-29
177,droplet,3m,30m,male,Lung,Frem1,-7.973362445831299,1.3058018339506816e-05,5.195743923991358e-08,5.6231354392366484e-05,8.867023126495655e-12
178,droplet,3m,30m,male,Liver,Mosc1,-7.916128158569336,0.00044002782669849694,1.8217465367342811e-06,0.0003526084474287927,4.499713664301397e-150
179,droplet,3m,30m,male,Lung,Podn,-7.907077312469482,9.159626642940566e-05,3.816007847490255e-07,0.00021703097445424646,8.123315156512835e-79
180,droplet,3m,30m,male,Lung,Prrg3,-7.9064717292785645,4.879573316429742e-05,2.03373630824899e-07,0.00011814669414889067,1.2548084044615853e-67
181,droplet,3m,30m,male,Kidney,Hba-a1,7.892488956451416,1.1004034661254991e-07,2.614759432617575e-05,0.0001546815619803965,7.8717465237719185e-25
182,droplet,3m,30m,male,Lung,Tnc,-7.875535488128662,2.0111097910557874e-05,8.563637265979196e-08,9.801292617339641e-05,4.940029839403197e-13
183,droplet,3m,30m,male,Spleen,Lrg1,7.8754963874816895,3.3689605061226757e-07,7.91148268035613e-05,0.0003043588367290795,7.155018519035823e-115
184,droplet,3m,30m,male,Liver,Rdh7,-7.855468273162842,0.0010018286993727088,4.3257541619823314e-06,0.0006723852711729705,5.6325630327928404e-216
