,Dataset,Start age,End age,sex,tissue,Gene,dExpression,Expression at start age,Expression at end age,Max expression std. dev,Confidence (p-value)
187,droplet,18m,21m,female,Marrow,Rhoc,5.519730567932129,2.341689651075285e-06,1.2925501323479693e-05,6.286366260610521e-05,4.004278163735306e-09
188,droplet,18m,21m,female,Marrow,Fpr1,5.490947246551514,7.29231396690011e-06,4.004171569249593e-05,0.00012369445175863802,2.6501198187331e-47
189,droplet,18m,21m,female,Liver,H2-DMb1,5.485740661621094,0.00025436648866161704,4.63686665170826e-05,0.00046547994134016335,7.034803703847454e-21
190,droplet,18m,21m,female,Liver,Hck,5.483709812164307,9.752670302987099e-05,1.7784801457310095e-05,0.00018095277482643723,3.0124885554857095e-18
191,droplet,18m,21m,female,Marrow,Ccl3,5.473374843597412,1.4717080375703517e-05,8.055210491875187e-05,0.0005520373233594,3.229985488963471e-09
192,droplet,18m,21m,female,Liver,Csad,5.443253517150879,6.880859291413799e-05,0.000374542607460171,0.0005248601664789021,1.2691201153550676e-21
193,droplet,18m,21m,female,Liver,Pilrb1,5.434701919555664,0.00010867217497434467,1.999597589019686e-05,0.00020479856175370514,2.8938420953041695e-16
194,droplet,18m,21m,female,Spleen,Fosb,5.425852298736572,4.490231003728695e-05,8.275622349174228e-06,0.00011676444410113618,4.057880614234662e-71
195,droplet,18m,21m,female,Mammary_Gland,Prss22,5.4171142578125,3.446840855758637e-05,6.362871772580547e-06,0.00012226159742567688,2.906860930185249e-22
196,droplet,18m,21m,female,Liver,Fcgr4,5.416162014007568,0.00016217051597777754,2.9941960747237317e-05,0.0003081377362832427,3.843823333867922e-16
197,droplet,18m,21m,female,Liver,Mpeg1,5.400606632232666,0.000437064009020105,8.092868665698916e-05,0.0006223201053217053,2.320670106708227e-31
198,droplet,18m,21m,female,Liver,Treml4,5.393371105194092,7.15428905095905e-05,1.3264966582937632e-05,0.00014745326188858598,1.604740948605859e-12
199,droplet,18m,21m,female,Liver,Ptgs1,5.387295246124268,0.00018335007189307362,3.4033790143439546e-05,0.0003206412075087428,1.8406306733186125e-19
200,droplet,18m,21m,female,Liver,Emr1,5.3796563148498535,0.00028516436577774584,5.300791599438526e-05,0.00046513063716702163,8.175105494493972e-22
