,Dataset,Start age,End age,sex,tissue,subtissue,Gene,dExpression,Expression at start age,Expression at end age,Max expression std. dev,Confidence (p-value)
4689,droplet,3m,24m,male,Kidney,nan,Prrc2b,2.183789014816284,6.169721018522978e-05,2.8252365154912695e-05,0.00011283499770797789,1.6249168221754813e-15
4690,droplet,3m,24m,male,Bladder,nan,Vps37b,2.183762788772583,9.86875020316802e-05,0.00021551009558606893,0.00037611680454574525,2.936089328493467e-49
4691,droplet,3m,24m,male,Kidney,nan,Aldoa,2.1835131645202637,0.0009534385753795505,0.0004366534703876823,0.000702299817930907,4.141223914181114e-130
4692,droplet,3m,24m,male,Kidney,nan,Cstb,2.1832826137542725,0.0002201499737566337,0.00010083438974106684,0.00027014644001610577,1.5180148417110681e-40
4693,droplet,3m,24m,male,Kidney,nan,Dut,2.18291974067688,3.545358049450442e-05,7.739231659797952e-05,0.00018723173707257956,6.168363021646334e-24
4694,droplet,3m,24m,male,Kidney,nan,Sav1,2.181089401245117,4.213256397633813e-05,1.9317209080327302e-05,0.00010201295663136989,2.032804984703476e-07
4695,droplet,3m,24m,male,Tongue,nan,Evpl,2.1798243522644043,6.78321739542298e-05,0.000147862228914164,0.00022905519290361553,2.722531164764656e-90
4696,droplet,3m,24m,male,Bladder,nan,Ptgis,2.1797988414764404,0.00012814925867132843,5.878948650206439e-05,0.00020552583737298846,2.2993847897030846e-28
4697,droplet,3m,24m,male,Bladder,nan,Asns,2.1797358989715576,1.890934436232783e-05,4.1217379475710914e-05,6.941709580132738e-05,2.8734880398070006e-28
4698,droplet,3m,24m,male,Tongue,nan,Sh3bgrl2,2.178759813308716,7.342889148276299e-06,1.5998393791960552e-05,3.844448292511515e-05,3.1781078988353344e-08
4699,droplet,3m,24m,male,Bladder,nan,Srm,2.1776812076568604,4.692586662713438e-05,2.154854519176297e-05,8.777416223892942e-05,7.908083894784142e-21
4700,droplet,3m,24m,male,Spleen,nan,Tmem108,2.177496910095215,4.571538738673553e-05,2.099446464853827e-05,0.00012604676885530353,3.475685582688949e-11
4701,droplet,3m,24m,male,Kidney,nan,Rabep2,2.1773252487182617,1.5882787920418195e-05,3.4582000807859004e-05,9.824302105698735e-05,6.324697313891051e-10
4702,droplet,3m,24m,male,Bladder,nan,Sprr1a,2.1748082637786865,0.0017583798617124557,0.0038241390138864517,0.003274447051808238,4.6542991781383515e-152
4703,droplet,3m,24m,male,Kidney,nan,Dalrd3,2.174805164337158,5.54416146769654e-05,2.549267992435489e-05,0.00011220225860597566,3.841160113433412e-12
4704,droplet,3m,24m,male,Kidney,nan,Fbl,2.1744589805603027,6.561927148140967e-05,0.0001426864182576537,0.00020243007747922093,1.9870994072270374e-57
4705,droplet,3m,24m,male,Kidney,nan,Pam16,2.1734261512756348,0.00010562400711933151,4.859792534261942e-05,0.0001499040226917714,1.79044809814233e-29
4706,droplet,3m,24m,male,Bladder,nan,Pi16,2.172321319580078,0.0008610523073002696,0.00039637426380068064,0.00183773972094059,8.386620018593853e-17
4707,droplet,3m,24m,male,Kidney,nan,Pdf,2.172283172607422,5.2242106903577223e-05,2.404939914413262e-05,0.00010554241453064606,4.52932326609401e-12
