,dataset,start_age,end_age,sex,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
1471,facs,3m,18m,male,Fam100a,1.0486609935760498,3.579521580832079e-05,7.404630741802976e-05,0.0002461160474922508,1.1429416999423448e-54
1472,facs,3m,18m,female,Zdhhc8,1.048588514328003,9.067003702512011e-06,1.8755143173621036e-05,8.93452379386872e-05,1.5837352352186477e-09
1473,facs,3m,18m,male,Elmo1,-1.0485873222351074,6.539568857988343e-05,3.161497807013802e-05,0.00020319476607255638,1.611147855936557e-54
1474,facs,3m,18m,male,Prkch,-1.048419713973999,3.745572757907212e-05,1.8109749362338334e-05,0.00016426548245362937,4.287554642112511e-25
1475,facs,3m,18m,male,Elp2,-1.047631859779358,5.5500990129075944e-05,2.6849245841731317e-05,0.0001879786141216755,3.74268237026472e-44
1476,facs,3m,18m,male,Appl2,-1.0475136041641235,3.574668153305538e-05,1.729428731778171e-05,0.00013181724352762103,5.50808505977512e-29
1477,facs,3m,18m,male,Kif1b,-1.047472596168518,0.00011760576308006421,5.6899429182522e-05,0.0005717110470868647,3.1833320137421507e-35
1478,facs,3m,18m,male,Itfg3,-1.047383189201355,7.803992048138753e-05,3.7759225961053744e-05,0.0002014130150200799,1.0259718968897884e-88
1479,facs,3m,18m,female,Hpn,1.0473061800003052,1.1866931345139164e-05,2.4524999389541335e-05,0.00020619442511815578,2.7596798312214638e-06
1480,facs,3m,18m,female,Mospd3,1.047261118888855,2.3376274839392863e-05,4.830947727896273e-05,0.00014487003500107676,7.008988144226159e-54
1481,facs,3m,18m,male,Prpf18,-1.0470019578933716,2.224063064204529e-05,1.076386161003029e-05,0.00010234572982881218,4.765334749269449e-10
1482,facs,3m,18m,male,D4Ertd22e,1.0464366674423218,3.404828021302819e-05,7.03240730217658e-05,0.00021478926646523178,1.1176542399675499e-60
1483,facs,3m,18m,male,Mcm3,-1.0462620258331299,6.465663318522274e-05,3.130810728180222e-05,0.00023763941135257483,1.1382400256487083e-47
1484,facs,3m,18m,male,Lamb2,-1.0453770160675049,6.245247641345486e-05,3.0259363484219648e-05,0.0002045816945610568,1.2187153488393006e-48
1485,facs,3m,18m,male,Cdc73,-1.0451933145523071,1.5902287486824207e-05,7.705930329393595e-06,8.097883983282372e-05,1.7912497345033005e-06
1486,facs,3m,18m,male,Elac2,-1.0451740026474,2.0948053133906797e-05,1.0151143214898184e-05,9.911449888022617e-05,3.208677135420395e-11
1487,facs,3m,18m,male,Exoc4,-1.0448728799819946,2.4521450541215017e-05,1.188524311146466e-05,0.00010920453496510163,3.359874393038515e-14
1488,facs,3m,18m,male,Lepre1,-1.0447800159454346,2.741912794590462e-05,1.3290567949297838e-05,0.00011159174027852714,2.29240316438001e-19
1489,facs,3m,18m,male,Gmfg,1.0444883108139038,6.294585182331502e-05,0.00012983429769519717,0.0003954648564103991,2.7334049384226737e-73
1490,facs,3m,18m,male,Ubr3,-1.0443503856658936,2.3746504666632973e-05,1.1513805475260597e-05,0.00010386970097897574,3.587950818886e-15
1491,facs,3m,18m,male,Adrm1,1.0441899299621582,6.444272003136575e-05,0.0001328943035332486,0.0002896006917580962,2.231714790330679e-137
1492,facs,3m,18m,male,Ivns1abp,-1.0440341234207153,0.00013333235983736813,6.466212653322145e-05,0.00033711682772263885,2.838063523418249e-114
1493,facs,3m,18m,male,Ubr1,-1.043839454650879,3.070153979933821e-05,1.489131864218507e-05,0.00013189214223530143,6.535511819241177e-16
1494,facs,3m,18m,male,Barx2,-1.0438321828842163,3.8131605833768845e-05,1.8495251424610615e-05,0.00017768309044186026,7.42764947839085e-18
1495,facs,3m,18m,female,Sh3bp1,1.0437870025634766,1.8383723727311008e-05,3.79004814021755e-05,0.0001234170194948092,9.013327025321395e-36
1496,facs,3m,18m,female,Fmnl1,1.0436323881149292,1.2099583727831487e-05,2.494222098903265e-05,0.00010396429570391774,3.2643179328691324e-16
1497,facs,3m,18m,male,Hccs,-1.0431058406829834,2.5380462830071338e-05,1.2316671927692369e-05,0.00010111690789926797,5.600322640038134e-18
1498,facs,3m,18m,male,Dock11,-1.0429041385650635,2.8177411877550185e-05,1.3675891750608571e-05,0.00011307413660688326,3.3979291781521823e-19
1499,facs,3m,18m,male,Ltbp4,-1.0427467823028564,0.00021856751118320972,0.00010609320452203974,0.0005830300506204367,1.9239165898355923e-110
1500,facs,3m,18m,male,Arcn1,-1.042482852935791,9.074812987819314e-05,4.4057422201149166e-05,0.000197205925360322,2.2418130625461927e-110
1501,facs,3m,18m,male,Tubgcp2,-1.0424718856811523,2.5123454179265536e-05,1.2197308933536988e-05,0.00011417675705160946,7.930546014222285e-15
1502,facs,3m,18m,female,Sf3b4,1.0423622131347656,3.5916098568122834e-05,7.397269655484706e-05,0.00020444350957404822,1.4748277029475136e-87
1503,facs,3m,18m,female,Cd79a,1.0419446229934692,0.00033374325721524656,0.0006871777586638927,0.002436407608911395,3.841674296276354e-64
1504,facs,3m,18m,male,E130203B14Rik,-1.041716456413269,1.853928370110225e-05,9.005442734633107e-06,0.00013056413445156068,4.969389431102473e-06
1505,facs,3m,18m,female,D4Ertd22e,1.0416802167892456,3.967429438489489e-05,8.167445048457012e-05,0.00024652801221236587,9.322743321789894e-79
