,Dataset,Start age,End age,Sex,Tissue,Subtissue,Cell type,Gene,dExpression,Confidence,Expression at start age,Expression at end age,Max expression std. dev
64,droplet,3m,21m,female,Lung,nan,T cell,Grin2a,0.0,low,0.0,0.0,0.0
65,droplet,3m,21m,female,Lung,nan,T cell,Rpl39l,0.0,low,0.0,0.0,0.0
66,droplet,3m,21m,female,Lung,nan,T cell,Atf7ip2,0.0,low,0.0,0.0,0.0
67,droplet,3m,21m,female,Lung,nan,T cell,Emp2,0.0,low,2.1061909137642942e-05,1.3727627447224222e-05,6.019332431606017e-05
68,droplet,3m,21m,female,Lung,nan,T cell,Tekt5,0.0,low,0.0,0.0,0.0
69,droplet,3m,21m,female,Lung,nan,T cell,Nubp1,0.0,low,0.00010132321040146053,7.255803211592138e-05,0.00012651858560275286
70,droplet,3m,21m,female,Lung,nan,T cell,Fam18a,0.0,low,0.0,0.0,0.0
71,droplet,3m,21m,female,Lung,nan,T cell,Ciita,0.0,low,0.0,0.0,0.0
72,droplet,3m,21m,female,Lung,nan,T cell,Dexi,0.0,low,1.0708830814110115e-05,9.075445268535987e-05,0.00014388358977157623
73,droplet,3m,21m,female,Lung,nan,T cell,Clec16a,0.0,low,0.0,3.744068862943095e-06,2.7603557100519538e-05
74,droplet,3m,21m,female,Lung,nan,T cell,Socs1,0.0,low,0.0,7.113616447895765e-05,0.000153038912685588
75,droplet,3m,21m,female,Lung,nan,T cell,Tnp2,0.0,low,0.0,4.2987016968254466e-06,2.7051213692175224e-05
76,droplet,3m,21m,female,Lung,nan,T cell,Prm3,0.0,low,0.0,0.0,0.0
77,droplet,3m,21m,female,Lung,nan,T cell,Prm2,0.0,low,0.0,0.0,0.0
78,droplet,3m,21m,female,Lung,nan,T cell,Prm1,0.0,low,0.0,0.0,0.0
79,droplet,3m,21m,female,Lung,nan,T cell,A630055G03Rik,0.0,low,6.283759284997359e-05,1.3725139069720171e-05,0.00010816941357916221
80,droplet,3m,21m,female,Lung,nan,T cell,Cldn26,0.0,low,0.0,0.0,0.0
81,droplet,3m,21m,female,Lung,nan,T cell,Rbfox1,0.0,low,0.0,0.0,0.0
82,droplet,3m,21m,female,Lung,nan,T cell,Glis2,0.0,low,0.0,3.610751264204737e-06,2.1041467334725894e-05
83,droplet,3m,21m,female,Lung,nan,T cell,Fam86,0.0,low,0.0,2.6364084988017567e-05,8.562153379898518e-05
84,droplet,3m,21m,female,Lung,nan,T cell,Pam16,0.0,low,0.0001220853882841766,7.152267062338069e-05,0.00023944697750266641
85,droplet,3m,21m,female,Lung,nan,T cell,Coro7,0.0,low,0.00011276308941887692,3.032866516150534e-05,0.00013667393068317324
86,droplet,3m,21m,female,Lung,nan,T cell,Vasn,0.0,low,0.0,1.999036385313957e-06,1.8102053218171932e-05
87,droplet,3m,21m,female,Lung,nan,T cell,Dnaja3,0.0,low,6.554868014063686e-05,1.356913253403036e-05,0.0001291551161557436
88,droplet,3m,21m,female,Lung,nan,T cell,Nmral1,0.0,low,1.7633308743825182e-05,1.3310048416315112e-05,4.455822636373341e-05
89,droplet,3m,21m,female,Lung,nan,T cell,Hmox2,0.0,low,5.255333599052392e-05,5.603795580100268e-05,0.00011634111433522776
90,droplet,3m,21m,female,Lung,nan,T cell,5730403B10Rik,0.0,low,0.0,6.709590252285125e-06,4.276430991012603e-05
91,droplet,3m,21m,female,Lung,nan,T cell,4930562C15Rik,0.0,low,0.0,0.0,0.0
92,droplet,3m,21m,female,Lung,nan,T cell,Fam100a,0.0,low,2.9696180718019605e-05,4.541995804174803e-05,9.778658568393439e-05
93,droplet,3m,21m,female,Lung,nan,T cell,Mgrn1,0.0,low,1.2062871974194422e-05,2.3718534066574648e-05,7.096274202922359e-05
94,droplet,3m,21m,female,Lung,nan,T cell,Gm16861,0.0,low,0.0,0.0,0.0
95,droplet,3m,21m,female,Lung,nan,T cell,Nudt16l1,0.0,low,3.913015461876057e-05,6.502596806967631e-05,0.0001110025477828458
96,droplet,3m,21m,female,Lung,nan,T cell,Anks3,0.0,low,2.1976091375108808e-05,1.197995857182832e-06,6.215777102624997e-05
97,droplet,3m,21m,female,Lung,nan,T cell,Sept12,0.0,low,0.0,0.0,0.0
98,droplet,3m,21m,female,Lung,nan,T cell,Gm5480,0.0,low,0.0,0.0,0.0
99,droplet,3m,21m,female,Lung,nan,T cell,Rogdi,0.0,low,8.478204108541831e-06,8.476915354549419e-06,4.111625094083138e-05
