,dataset,start_age,end_age,sex,tissue,subtissue,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
259,droplet,3m,21m,female,Marrow,nan,Nrip1,-2.1193108558654785,1.2764468920067884e-05,2.9378290946624475e-06,4.614200224750675e-05,9.226406182580048e-09
260,droplet,3m,21m,female,Mammary_Gland,nan,Lrrn4cl,2.1138126850128174,1.8271315639140084e-05,7.908441330073401e-05,0.00020014912297483534,5.168205653925548e-71
261,droplet,3m,21m,female,Marrow,nan,Cep350,-2.113495111465454,2.9769080356345512e-05,6.879231932543917e-06,6.381949788192287e-05,1.403328863218834e-44
262,droplet,3m,21m,female,Marrow,nan,Chd9,-2.113147020339966,3.389318590052426e-05,7.834146344976034e-06,7.47850863263011e-05,1.456725143604675e-48
263,droplet,3m,21m,female,Marrow,nan,2610018G03Rik,-2.111337423324585,1.645545125938952e-05,3.8083237541286508e-06,4.3498559534782544e-05,9.115081736243314e-18
264,droplet,3m,21m,female,Spleen,nan,Csprs,2.1054651737213135,1.189452814287506e-05,5.118650369695388e-05,0.00012074870028300211,1.5949707926746254e-81
265,droplet,3m,21m,female,Marrow,nan,Runx2,-2.105452060699463,6.447459600167349e-05,1.4982501852500718e-05,0.0002305373636772856,5.2033207504617555e-27
266,droplet,3m,21m,female,Mammary_Gland,nan,2610019F03Rik,-2.1047472953796387,2.5098803234868683e-05,5.835268893861212e-06,8.628949581179768e-05,7.750368834989777e-24
267,droplet,3m,21m,female,Mammary_Gland,nan,Bend4,-2.1044600009918213,1.7921227481565438e-05,4.167370661889436e-06,7.499523781007156e-05,4.214049609990853e-13
268,droplet,3m,21m,female,Limb_Muscle,nan,Tspan32,-2.1040637493133545,1.860098564065993e-05,4.326628186390735e-06,9.089511149795726e-05,1.3701270102049313e-08
269,droplet,3m,21m,female,Mammary_Gland,nan,Ltc4s,2.0985476970672607,7.061748874548357e-06,3.0243920264183544e-05,0.0001842500059865415,6.357909025920674e-10
